id,en,es
ITEM_OATH_SILENT_SABATONS_DESC,"Quiet steps for loud vows.","Quiet steps for loud vows."
ITEM_AFTERPARTY_SLIPPROOF_BOOTS_NAME,"Slipproof Boots","Slipproof Boots"
ITEM_AFTERPARTY_SLIPPROOF_BOOTS_DESC,"For floors that are 60% ale and 40% confidence.","For floors that are 60% ale and 40% confidence."
ITEM_CADET_GRIP_GLOVES_NAME,"Cadet Grip Gloves","Cadet Grip Gloves"
ITEM_CADET_GRIP_GLOVES_DESC,"For holding the line. And occasionally, your dignity.","For holding the line. And occasionally, your dignity."
ITEM_CANDLEKEEP_WICKWRAPS_NAME,"Wickwrap Gauntlets","Wickwrap Gauntlets"
ITEM_CANDLEKEEP_WICKWRAPS_DESC,"If you cant hold the torch, become the torch.","If you cant hold the torch, become the torch."
ITEM_MISTWARDEN_KNOT_GAUNTLETS_NAME,"Knot Gauntlets","Knot Gauntlets"
ITEM_MISTWARDEN_KNOT_GAUNTLETS_DESC,"For when your sword needs a firmer opinion.","For when your sword needs a firmer opinion."
ITEM_ETIQUETTE_DUEL_GLOVES_NAME,"Duel Gloves","Duel Gloves"
ITEM_ETIQUETTE_DUEL_GLOVES_DESC,"For striking with honor and pointing at mistakes.","For striking with honor and pointing at mistakes."
ITEM_OATH_GRIP_OF_VOWS_NAME,"Grip of Vows","Grip of Vows"
ITEM_OATH_GRIP_OF_VOWS_DESC,"Once you grab the hilt, the promise grabs back.","Once you grab the hilt, the promise grabs back."
ITEM_AFTERPARTY_TOAST_GAUNTLETS_NAME,"Toast Gauntlets","Toast Gauntlets"
ITEM_AFTERPARTY_TOAST_GAUNTLETS_DESC,"Raises a cup, then raises damage. In that order.","Raises a cup, then raises damage. In that order."
ITEM_CADET_PRACTICE_BLADE_NAME,"Cadet Practice Blade","Cadet Practice Blade"
ITEM_CADET_PRACTICE_BLADE_DESC,"Sharp enough to cut tension. Barely.","Sharp enough to cut tension. Barely."
ITEM_CANDLEKEEP_SPARK_SABRE_NAME,"Spark Sabre","Spark Sabre"
ITEM_CANDLEKEEP_SPARK_SABRE_DESC,"Strikes like a match: quick, bright, mildly concerning.","Strikes like a match: quick, bright, mildly concerning."
ITEM_MISTWARDEN_FOGCLEAVER_NAME,"Fogcleaver","Fogcleaver"
ITEM_MISTWARDEN_FOGCLEAVER_DESC,"Cuts mist dramatically. Sometimes it even hits enemies.","Cuts mist dramatically. Sometimes it even hits enemies."
ITEM_ETIQUETTE_SALUTE_SWORD_NAME,"Salute Sword","Salute Sword"
ITEM_ETIQUETTE_SALUTE_SWORD_DESC,"Bows before fights. Doesnt bow during fights.","Bows before fights. Doesnt bow during fights."
ITEM_OATH_CRYPT_EDGE_NAME,"Crypt Edge","Crypt Edge"
ITEM_OATH_CRYPT_EDGE_DESC,"Keeps an honest bite. The edge never lies.","Keeps an honest bite. The edge never lies."
ITEM_AFTERPARTY_RIBBON_BLADE_NAME,"Ribbon Blade","Ribbon Blade"
ITEM_AFTERPARTY_RIBBON_BLADE_DESC,"Not decorative. The ribbon is just optimistic.","Not decorative. The ribbon is just optimistic."
ITEM_CADET_PADDED_ARMOUR_NAME,"Cadet Padded Armour","Cadet Padded Armour"
ITEM_CADET_PADDED_ARMOUR_DESC,"Soft enough to nap in. Tough enough to pretend you didnt.","Soft enough to nap in. Tough enough to pretend you didnt."
ITEM_CANDLEKEEP_ASHCOAT_NAME,"Ashcoat Armour","Ashcoat Armour"
ITEM_CANDLEKEEP_ASHCOAT_DESC,"Smells faintly of campfire and professional responsibility.","Smells faintly of campfire and professional responsibility."
ITEM_MISTWARDEN_DAMPCLOAK_MAIL_NAME,"Dampcloak Mail","Dampcloak Mail"
ITEM_MISTWARDEN_DAMPCLOAK_MAIL_DESC,"Its not wet. Its atmospheric.","Its not wet. Its atmospheric."
ITEM_ETIQUETTE_POLISHED_CUIRASS_NAME,"Polished Cuirass","Polished Cuirass"
ITEM_ETIQUETTE_POLISHED_CUIRASS_DESC,"So shiny enemies can see their mistake coming.","So shiny enemies can see their mistake coming."
ITEM_OATH_GRAVEWARDEN_PLATE_NAME,"Gravewarden Plate","Gravewarden Plate"
ITEM_OATH_GRAVEWARDEN_PLATE_DESC,"Heavy as a vow. Reliable as one, too.","Heavy as a vow. Reliable as one, too."
ITEM_AFTERPARTY_CONFETTI_BRIGANDINE_NAME,"Confetti Brigandine","Confetti Brigandine"
ITEM_AFTERPARTY_CONFETTI_BRIGANDINE_DESC,"Protects you and insists the victory was planned.","Protects you and insists the victory was planned."
ITEM_CADET_ROUND_SHIELD_NAME,"Cadet Round Shield","Cadet Round Shield"
ITEM_CADET_ROUND_SHIELD_DESC,"Round, reliable, and already marked by rookie mistakes.","Redondo, confiable y ya marcado por errores de principiante."
ITEM_CANDLEKEEP_WAXGUARD_NAME,"Candlekeep Waxguard","Candlekeep Waxguard"
ITEM_CANDLEKEEP_WAXGUARD_DESC,"Blocks strikes and wax drips with the same dedication.","Bloquea golpes y goteos de cera con la misma dedicación."
ITEM_MISTWARDEN_MIRE_SHIELD_NAME,"Mistwarden Mire Shield","Mistwarden Mire Shield"
ITEM_MISTWARDEN_MIRE_SHIELD_DESC,"Absorbs impacts. Also moisture. Lots of moisture.","Absorbe impactos. También humedad. Mucha humedad."
ITEM_ETIQUETTE_PARADE_SHIELD_NAME,"Etiquette Parade Shield","Etiquette Parade Shield"
ITEM_ETIQUETTE_PARADE_SHIELD_DESC,"Designed for parades. Uncomfortably effective in real combat.","Diseñado para desfilar. Incómodamente efectivo en combate real."
ITEM_OATH_CRYPT_SHIELD_NAME,"Oath Crypt Shield","Oath Crypt Shield"
ITEM_OATH_CRYPT_SHIELD_DESC,"It doesn't promise to protect you. It just does.","No promete protegerte. Simplemente lo hace."
ITEM_AFTERPARTY_CONFETTI_SHIELD_NAME,"Afterparty Confetti Shield","Afterparty Confetti Shield"
ITEM_AFTERPARTY_CONFETTI_SHIELD_DESC,"Lightweight, loud, and surprisingly hard to get through.","Liviano, ruidoso y sorprendentemente difícil de atravesar."
